LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-121.6500218,36.6611036,267,E ROMIE LANE,,Salinas,,,93901,,c6fe8312c61e4176
-121.8022698,36.6828767,213,PALM AVENUE,,Marina,,,93933,,e2325f73f096f3a4
-121.6292235,36.7158404,1933,CHELSEA COURT,,Salinas,,,93906,,55384405d8b01fbe
-121.7343825,36.6535782,17655,REYNOLDS STREET,,East Garrison,,,93933,,e2081cebcb68b53c
-121.6617459,36.6685273,244,LANG STREET,,Salinas,,,93901,,7970b3969b1e5f8c
-121.6488359,36.6012548,19643,WOODCREST DRIVE,,Salinas,,,93908,,c3db48ad50fa8996
-121.8805325,36.6006825,39,LA PLAYA AVENUE,,Monterey,,,93940,,1093a70eba27feea
-121.7349359,36.6527218,17706,REYNOLDS STREET,,East Garrison,,,93933,,e2acf7acf75a64da
-121.7349851,36.6524368,17718,REYNOLDS STREET,,East Garrison,,,93933,,a97dc1812c751cb6
-121.7346552,36.6524151,17719,REYNOLDS STREET,,East Garrison,,,93933,,8c8904f7b53e62ae
-121.7346549,36.6523221,17723,REYNOLDS STREET,,East Garrison,,,93933,,d02133f3563b4bcc
-121.734978,36.6522366,17726,REYNOLDS STREET,,East Garrison,,,93933,,ac89283e9cc3323e
-121.7346631,36.6522193,17727,REYNOLDS STREET,,East Garrison,,,93933,,5f5a9babe40e57c2
-121.7346683,36.6521142,17731,REYNOLDS STREET,,East Garrison,,,93933,,e5f3982ba99b4cba
-121.6099973,36.7072066,1832,LONDON WAY,,Salinas,,,93906,,b4be200329b96434
-121.6574589,36.6955788,325,HAYES STREET,C\A,Salinas,,,93906,,e6c8d43b200a9e00
-121.878314,36.5378746,115,HACIENDA CARMEL,,Carmel,,,93923,,e40561bbfd321064
-121.8329078,36.5992285,1502,KIMBALL AVENUE,,Seaside,,,93955,,79fbc25ed773749a
-121.2444431,36.3198949,901,OAK STREET,,Greenfield,,,93927,,47ac62999569657e
-121.7337114,36.6543043,16206,EAST GARRISON DRIVE,,East Garrison,,,93933,,52d1bec08e6c7998
-121.6311726,36.6810957,762,ST MICHAEL WAY,,Salinas,,,93905,,f70c7029f6b03c46
-121.8034421,36.6615153,2985,8TH STREET,,Marina,,,93933,,a6d78a1f3c6c42e6
-121.6727825,36.6749386,766,CENTRAL AVENUE,B,Salinas,,,93901,,2ba63a717cdb4980
-121.7337475,36.6542476,16210,EAST GARRISON DRIVE,,East Garrison,,,93933,,cb66b58857872c22
-121.7337868,36.6541977,16214,EAST GARRISON DRIVE,,East Garrison,,,93933,,373ed1c933763418
-121.7338198,36.6541456,16218,EAST GARRISON DRIVE,,East Garrison,,,93933,,16df2f7894a6f668
-121.7338517,36.6540933,16222,EAST GARRISON DRIVE,,East Garrison,,,93933,,ca2c1196928f9b06
-121.7339013,36.6540395,16226,EAST GARRISON DRIVE,,East Garrison,,,93933,,9cb18f9047ac5de0
-121.7340627,36.6539102,16234,EAST GARRISON DRIVE,,East Garrison,,,93933,,37f011956f0d14a8
-121.7339253,36.6537941,16238,EAST GARRISON DRIVE,,East Garrison,,,93933,,033c9eb1ffae1734
-121.7340741,36.6537331,16242,EAST GARRISON DRIVE,,East Garrison,,,93933,,3ba15fa9a7ecd0e8
-121.8061419,36.6643967,3015,SHOREBIRD PLACE,0,Marina,,,93933,,267c6357e3e5c0ba
-121.8061841,36.6642817,3013,SHOREBIRD PLACE,0,Marina,,,93933,,0e8c2461a56dc8dc
-121.8062264,36.6641668,3011,SHOREBIRD PLACE,0,Marina,,,93933,,e42b86bd8ec461c6
-121.6554002,36.7068458,1450,N 1ST STREET,65,Salinas,,,93906,,af25a9a444371b96
-121.654661,36.6805087,119,N MAIN STREET,,Salinas,,,93901,,8b12dfda00e9e38a
-121.8063433,36.6637954,3005,SHOREBIRD PLACE,0,Marina,,,93933,,41ff309351a29344
-121.8064192,36.6635727,3001,SHOREBIRD PLACE,0,Marina,,,93933,,65646df0a8d64580
-121.8067482,36.6633174,2707,SHOREBIRD PLACE,0,Marina,,,93933,,24eca2f677445436
-121.8067877,36.6631865,2705,SHOREBIRD PLACE,0,Marina,,,93933,,97019f05adf6c85c
-121.8068404,36.6630553,2703,SHOREBIRD PLACE,0,Marina,,,93933,,ed750165e15a8e38
-121.8068736,36.6629352,2701,SHOREBIRD PLACE,0,Marina,,,93933,,b0a5e66471353c6c
-121.806619,36.6629251,2700,SHOREBIRD PLACE,0,Marina,,,93933,,a36d1882d98fc176
-121.8057814,36.6634186,2705,3RD AVENUE,0,Marina,,,93933,,9c9d291803a9dc9e
-121.6733849,36.6755135,791,ARCHER STREET,B,Salinas,,,93901,,793a2395bcc1533c
-121.6557476,36.7225956,2034,N MAIN STREET,,Salinas,,,93906,,193d1420705dc5a2
-121.8058787,36.6631153,2703,3RD AVENUE,0,Marina,,,93933,,9cc8f01add1e037e
-121.6028829,36.6739244,314,SYCAMORE ROAD,,Salinas,,,93905,,c4cc2f4c109d5f08
-121.6655908,36.6559415,1330,BYRON DRIVE,8D,Salinas,,,93901,,6e65d43d3f3c8f1c
-121.8059315,36.6629253,2701,3RD AVENUE,0,Marina,,,93933,,59ff3e7a8d651374
-121.8056754,36.6636633,2709,3RD AVENUE,0,Marina,,,93933,,5d070f02ee64703c
-121.8055159,36.6641425,2717,3RD AVENUE,0,Marina,,,93933,,4f555f24b81cb520
-121.1294943,36.2194826,610,N 2ND STREET,,King City,,,93930,,08ca6edf66ee22b2
-121.144887,36.2067905,1326,CAMBRIDGE AVENUE,,King City,,,93930,,36059477b968e922
